TweetID;Category
1407507772149796866;0
1407783277793001480;27
1407787429831000070;8
1407449260774285318;1
1407876381254561794;18
1407502722404868096;2
1407451036986613760;1
1407893593591791617;20
1407501769656184835;2
1407759031238856704;7
1407855650504425477;11
1407503043457957914;2
1407760262275403785;6
1407864020359602176;15
1408089561092210695;25
1407869867940880384;11
1408075251137728514;20
1407762298505158657;8
1407859857424797698;12
1407462409275592704;1
1407789212020228099;8
1407760410841915400;7
1407865145007738883;15
1407881327064530946;22
1407504401800040450;2
1407853591264628740;12
1407462156065456132;1
1407502796329525248;2
1407502497464434691;2
1407444947201036288;0
1407864869550952451;15
1407779895284015107;27
1407502053111472128;2
1407757458156703748;7
1407688846989479938;4
1407513011661705220;2
1408058282879569925;23
1408063390363230209;20
1407449101030002695;1
1407861794010501121;11
1407913664087220229;23
1407885631301300225;24
1407443781738283012;0
1407863624765427715;15
1407874926124666881;19
1408030687316385792;23
1407861350207004676;12
1407871085517983744;19
1407852555477127172;12
1407857228292444160;13
1407787948079263746;27
1407858032697020424;11
1407796516971028480;8
1407460721009569797;1
1407461679722549249;1
1408080158398062597;25
1407786516609486849;27
1407768630444662789;6
1407857516940308483;12
1407466440412762118;1
1407787494427480068;9
1407884954235805696;24
1407874339433697283;17
1407759890630811652;7
1407815640476495874;10
1407874864124510214;18
1407709892530606089;3
1407873235585273857;18
1407490604041388035;1
1407452339733241863;1
1407466624777662467;0
1407857980767363074;13
1407501342130814978;2
1407854994867601418;12
1407886655063609346;24
1407861631225417728;12
1407867225583783938;16
1407818417646751747;10
1407706497803563016;5
1407863705711304709;15
1407896747569995779;23
1408067448851472386;20
1407757431388749826;7
1407813869867782151;10
1407881569096896513;22
1407867205358964739;16
1407509700065828865;2
1407451655616991232;1
1407867184190210050;16
1407758103442083846;7
1407502674896080898;0
1407504801299062784;2
1407757137804238859;7
1407856228211040256;13
1407442831841665027;1
1407853830964908036;12
1407871562997510144;17
1407867951441661955;15
1408091339707850754;25
1407451880788316163;1
1407857096599670785;12
1407895627611217927;26
1407878974030630913;19
1407885560220422146;24
1407466402060115971;1
1407858436159815683;13
1407858133230292994;13
1407757606735781891;7
1407758691420491777;7
1407447742457253888;1
1407766672052830211;6
1407877463326273537;21
1407884698760646659;24
1407512766450126848;0
1407875216450146304;18
1407882417554210821;22
1407512428775096328;2
1407860166356254721;14
1407789944253390857;8
1408048361840721926;23
1407831479191756801;27
1407849651001335813;11
1407864129730322433;15
1407757492990496772;7
1407859758586077188;13
1407466195251601412;0
1407801505151950855;9
1407870408238505998;18
1408078604353871875;20
1407451447067824136;1
1407872148039929864;18
1407858409857298433;14
1407804987913256960;9
1407882253615648773;22
1407811808224808965;10
1407813518536187910;27
1407510335578415104;0
1407856293889597445;13
1407881015037681667;22
1407883248018071555;22
1407705902094897153;4
1407525535979343873;2
1407510631092195331;2
1407870002548641794;17
1407500541807181824;2
1407760315748585483;7
1407710168448704517;3
1407860634277060608;13
1407740218313265153;5
1407759467891073028;7
1407744305012297734;5
1407886971276607497;21
1407509745330802689;2
1407757779268407305;7
1407688984898248705;4
1407757445221453825;7
1407881949667106816;22
1407862142657773570;11
1407882595774386176;22
1407756178390720515;5
1408062163864875008;26
1407764919743885322;6
1407774581071486977;27
1408060591965491205;23
1407500446214901766;2
1407445377788350464;0
1407856699449487361;11
1407453274345717765;1
1407444501329817601;0
1407883838890590210;21
1407802676117651462;9
1407808015835729925;9
1407828763602264065;10
1407450297937580032;0
1407452093229809675;1
1407857687195496449;13
1407490288885678080;1
1407857650973478913;13
1407884919330725890;24
1407758068675485697;7
1407885662779547648;24
1407866039334019075;15
1407462045092663301;1
1407758669450604546;7
1407883316695646212;22
1407885410789998592;24
1407881272068915200;22
1408078584938442754;20
1407523218446065664;0
1407502868760993800;2
1407856929326706694;13
1407462113325551622;1
1407512924340510721;0
1408054408244461575;25
1407873724599177217;19
1407883101695627266;22
1407503548833730563;2
1407873278639849472;18
1407762621571473409;6
1407758122261921800;7
1407861171147976705;12
1407879482594271236;21
1407764569745989643;6
1407809673173127182;9
1407838753700331523;10
1407854890974683137;12
1407865638488621059;15
1407451774433255425;1
1407890733605003267;26
1407874322832703489;11
1407758212594601987;7
1407852941839568897;12
1407776001698959368;27
1407502444880351232;2
1407797034187464709;27
1407862469628997635;12
1407858799847817216;13
1407789210959024129;8
1407498224672415748;0
1407882704822149121;21
1407882959412158464;22
1407873112079753219;19
1408047312547553287;25
1407794785147052036;8
1408038956395077639;20
1407452230714892288;1
1407445878059720714;0
1407799216458641410;9
1407501720553406464;0
1407798515879796736;8
1407465328670609413;0
1407502922808709123;2
1408050560872456193;26
1407462375050076160;1
1408058827572879374;20
1407865523300409348;16
1407868966853357568;17
1407502233407791104;2
1407870009301422084;16
1407855729097256966;13
1407859986412277764;13
1407870320648806406;16
1407858074111692804;13
1407858481978384389;13
1407788876719140865;27
1408079165442736130;25
1407449705672581120;1
1407812299218460672;10
1407506868327616515;0
1408043221880561666;20
1407715546993500162;3
1407855527749636096;12
1407760170592178176;7
1407502550723706884;0
1407872336410419201;19
1407882978529845251;22
1407868134070030336;15
1407512321103208450;0
1407465424808202241;1
1407865314600263683;16
1407857147250102277;13
1407460968842641410;1
1407861259601592321;12
1407501309251571715;2
1407831179223474179;27
1407866955223162880;16
1407884279082897417;24
1407903050161917952;23
1407707030761181185;3
1408062509076992003;25
1407759840877977604;7
1407883099564822529;22
1407750075137376257;5
1407473341628309504;1
1407803051344371712;9
1407812296546656259;10
1407765943246331911;6
1407758841824034823;7
1407760009035911168;7
1407762481456549889;8
1407870461611057152;17
1407804583070646273;9
1407901567114690560;26
1407461250666221569;1
1407501746025504772;2
1407864160176644097;15
1407758344199282690;7
1407865256978927618;16
1407754999879409673;6
1408060632000249858;20
1407758427800190982;7
1407878020132651008;18
1407712133241094147;3
1407886364943785984;24
1407880756563746818;22
1407463187939745792;1
1407464574194958336;1
1407745489940860932;5
1407757246109528071;7
1407860380798443521;13
1407865406887546880;16
1407466114926383107;0
1407865861893992454;16
1408036342995488768;23
1407781240468615172;8
1407872592774680578;19
1407760398430969858;7
1407863928374403074;15
1407860404257181697;13
1407858586861064192;13
1407876299746594819;18
1407742915481423877;5
1407854167914422273;12
1407500925338542083;2
1407860482921439234;12
1407502519077675012;2
1407855457239277570;11
1407499861377814534;0
1407883890807775237;24
1407859434441879554;14
1407911614666448899;23
1407881783987916806;22
1407505631314128896;2
1407859553883066368;12
1407878816203100162;19
1407758278449319938;7
1407856289825411078;12
1407878524854284291;19
1407464506691932160;1
1407706306224480260;5
1407464000628178946;0
1407858439578177537;13
1407793117294698500;8
1407449599741153282;1
1407760323625598978;7
1407758765982687235;7
1407883189545324546;22
1407759626620346370;6
1407871131105771520;11
1407758871872028672;7
1407503892733169666;2
1407865547342106626;16
1407524980938661890;2
1408028077448478722;20
1407883583562391555;22
1407509741392310272;2
1407870302537801728;16
1407859904296128514;13
1407856977833873411;11
1407882841292169221;21
1407759520680529923;7
1407884751210528770;24
1407867125918806019;16
1407858176641404931;13
1408026237486907398;26
1407881368479178752;22
1407864055960768516;15
1407882842546319377;22
1407758816456974338;7
1407751810731757572;6
1407867950019891200;15
1407865768495267845;16
1407874862304092160;11
1407857413936582663;13
1407864835879145476;15
1407792399259258884;8
1407502767736995840;2
1407861254144864258;12
1407760344487968770;7
1407759947824308225;7
1407861892064886785;12
1407758635351040001;7
1407903245977128961;26
1407860593701359621;13
1407759473612050432;7
1407691377752821762;3
1408054259019624452;20
1407817449169428484;10
1407832721922080773;27
1407757577149161472;7
1407875135974019083;17
1407452030940106765;1
1407796923466063872;27
1407706065609936903;3
1407764305353875457;6
1408058945592233989;20
1407757941671927811;7
1407858313698725890;12
1407812828090802180;27
1407885622128304128;21
1407868389914300422;16
1407867063197126665;16
1407451526017191936;0
1407445970871328769;1
1407856064096243716;13
1407896585556705284;26
1407527301999480833;2
1407503043696996353;2
1407859527286939649;13
1407443871043293186;0
1407500862759579649;2
